alcohol,volatile acidity,sulphates,citric acid,density,chlorides,quality
12.5,0.31,0.77,0.39,0.99444,0.078,7
11.8,0.31,0.69,0.36,0.99562,0.056,5
10.8,0.635,0.69,0.1,0.99736,0.08,7
10.8,0.635,0.69,0.1,0.99736,0.08,7
10.8,0.59,0.59,0.06,0.9962,0.06,7
10.8,0.59,0.59,0.06,0.9962,0.06,7
9.5,0.58,0.59,0.2,0.998,0.081,5
11,0.54,0.71,0.27,0.9964,0.084,5
12.2,0.395,0.64,0.46,0.99639,0.094,7
11,0.715,0.61,0.19,0.99395,0.161,5
10.5,0.41,0.56,0.37,0.99786,0.091,5
11.2,0.47,0.8,0.27,0.99516,0.055,5
11,0.22,0.87,0.36,0.99604,0.064,7
11.2,0.47,0.8,0.27,0.99516,0.055,5
12,0.33,0.73,0.38,0.99468,0.063,7
10.5,0.61,0.73,0.01,0.99746,0.08,5
9.8,0.61,0.65,0.01,0.99748,0.074,5
9.8,0.61,0.65,0.01,0.99748,0.074,5
10.5,0.61,0.73,0.01,0.99746,0.08,5
12.9,0.38,0.72,0.38,0.99356,0.068,7
11.4,0.46,0.54,0.17,0.99425,0.073,5
12.4,0.33,0.76,0.52,0.99509,0.074,7
12.5,0.27,0.52,0.49,0.99484,0.082,7
10,0.43,0.64,0.4,0.99834,0.092,7
9.7,0.5,0.6,0.34,0.99864,0.094,7
12.1,0.3,0.64,0.49,0.99498,0.09,7
11.1,0.44,0.79,0.42,0.99566,0.071,7
12,0.44,0.99,0.58,0.99745,0.092,7
12.4,0.28,0.62,0.48,0.99408,0.093,7
11.9,0.12,0.76,0.45,0.99552,0.075,7
11.9,0.12,0.76,0.45,0.99552,0.075,7
11.9,0.12,0.76,0.45,0.99552,0.075,7
12.4,0.28,0.62,0.48,0.99408,0.093,7
11.2,0.31,0.68,0.4,0.99536,0.058,7
12.1,0.34,0.69,0.48,0.99458,0.052,7
10.4,0.21,0.67,0.52,0.99648,0.09,5
11.3,0.57,0.71,0.12,0.99519,0.12,7
10,0.59,0.61,0.05,0.99735,0.089,5
9.3,0.56,0.62,0.14,0.99592,0.078,5
9.5,0.57,0.69,0.02,0.99654,0.115,5
11.9,0.38,0.58,0.41,0.99604,0.103,7
9.2,0.66,0.48,0.2,0.99733,0.097,5
10.2,0.56,0.61,0.09,0.99669,0.079,5
11.6,0.38,0.65,0.5,0.99643,0.104,7
10.7,0.34,0.63,0.44,0.99605,0.079,5
12.1,0.33,0.62,0.41,0.99658,0.073,7
9.4,0.41,0.52,0.3,0.997,0.083,5
9.4,0.41,0.52,0.3,0.997,0.083,5
9.1,0.59,0.5,0.29,0.99801,0.109,5
11.3,0.4,0.49,0.32,0.99416,0.061,7
10.4,0.45,0.63,0.49,0.9969,0.075,5
10,0.86,0.62,0.26,0.99712,0.079,5
10.4,0.45,0.63,0.49,0.9969,0.075,5
11.4,0.34,0.55,0.39,0.9947,0.066,7
9.4,0.36,0.5,0.3,0.99693,0.08,5
9.4,0.39,0.49,0.12,0.99596,0.097,5
9.4,0.39,0.49,0.12,0.99596,0.097,5
9.4,0.34,0.48,0.28,0.99694,0.082,5
9.4,0.34,0.48,0.28,0.99694,0.082,5
9.4,0.35,0.43,0.45,0.99918,0.092,5
12.8,0.66,0.63,0,0.99378,0.087,7
12.8,0.66,0.63,0,0.99378,0.087,7
11.5,0.43,0.72,0.3,0.99495,0.062,7
10.6,0.35,0.82,0.38,0.99676,0.058,7
11.7,0.29,0.84,0.33,0.99516,0.063,7
12.8,0.36,0.55,0.32,0.9928,0.067,7
10.3,0.43,0.54,0.29,0.99603,0.081,5
12.8,0.36,0.55,0.32,0.9928,0.067,7
11.7,0.29,0.84,0.33,0.99516,0.063,7
11.7,0.3,0.84,0.34,0.99516,0.064,7
12,0.35,0.7,0.4,0.99549,0.11,7
10.9,0.5,0.68,0.36,0.99722,0.116,5
12.3,0.28,0.55,0.45,0.99354,0.067,7
10,1.005,0.48,0.15,0.99604,0.102,5
12.6,0.38,0.75,0.4,0.99486,0.068,7
10.4,0.5,0.61,0.14,0.99636,0.078,5
10.5,0.51,0.54,0.09,0.99584,0.062,5
10.5,0.58,0.56,0.01,0.99568,0.088,7
11.6,0.795,0.52,0,0.99378,0.065,5
10.5,0.58,0.56,0.01,0.99568,0.088,7
11.5,0.59,0.55,0,0.99488,0.091,7
11,0.55,0.58,0.01,0.99514,0.093,7
9.6,0.82,0.53,0,0.99854,0.095,5
10.6,0.37,0.65,0.34,0.99683,0.085,7
12.5,0.31,0.59,0.34,0.99356,0.082,7
9.2,0.91,0.56,0.1,0.99672,0.074,5
12.6,0.41,0.77,0.41,0.9953,0.078,7
10.2,0.965,0.67,0,0.99756,0.088,5
10.9,0.39,0.81,0.41,0.99859,0.069,7
10.4,0.43,0.64,0.17,0.99634,0.082,5
10.4,0.43,0.64,0.17,0.99634,0.082,5
9.2,0.46,1.34,0.59,0.99702,0.414,5
12.9,0.605,0.55,0.05,0.99258,0.073,5
12.7,0.33,0.77,0.42,0.99426,0.07,7
12.1,0.48,0.59,0.53,0.99586,0.101,7
9.1,0.42,0.57,0.25,0.99784,0.104,5
11.6,0.53,0.76,0.57,0.9971,0.093,7
12.1,0.48,0.59,0.53,0.99586,0.101,7
12.5,0.52,0.72,0.08,0.99358,0.07,7
10.9,0.31,0.83,0.53,0.99572,0.06,7
10.9,0.31,0.83,0.53,0.99572,0.06,7
10.8,0.62,0.62,0.35,0.997,0.086,5
11.1,0.33,0.89,0.45,0.99498,0.057,7
9.2,0.77,0.58,0.2,0.99892,0.098,5
9.2,0.77,0.58,0.2,0.99892,0.098,5
10.2,0.25,0.86,0.34,0.99769,0.071,7
11,0.37,0.58,0.65,0.99817,0.08,5
11,0.37,0.58,0.65,0.99817,0.08,5
12.3,0.3,0.51,0.68,0.99316,0.05,7
12.3,0.3,0.51,0.68,0.99316,0.05,7
9.6,0.48,0.49,0.08,0.99529,0.074,5
11.6,0.34,0.66,0.4,0.99738,0.055,7
9.9,0.41,0.76,0.54,0.99735,0.095,7
9.9,0.41,0.76,0.54,0.99735,0.095,7
12,0.31,0.86,0.36,0.99615,0.079,7
10.5,0.4,0.5,0.47,0.99772,0.087,5
9.4,0.52,0.52,0.38,0.99666,0.096,5
12.5,0.31,0.81,0.45,0.99358,0.216,7
9.4,0.52,0.52,0.38,0.99666,0.096,5
12.8,0.57,0.6,0.28,0.99374,0.048,5
11.7,0.3,0.85,0.41,0.99523,0.068,7
9.5,0.78,0.49,0.1,0.99855,0.09,5
12.3,0.42,0.64,0.27,0.99471,0.092,7
12.9,0.66,0.58,0,0.99256,0.066,5
11.3,0.24,0.59,0.35,0.99394,0.055,7
10,0.43,0.68,0.33,0.9984,0.095,5
9.5,0.19,0.44,0.21,0.99341,0.045,5
13.6,0.36,0.88,0.34,0.9933,0.075,7
11.2,0.48,0.68,0.07,0.99684,0.089,7
11.8,0.28,0.74,0.35,0.99524,0.061,7
9.1,0.41,0.58,0.15,0.99786,0.104,5
10.1,0.32,0.62,0.23,0.99588,0.066,5
11.8,0.41,0.49,0.45,0.99702,0.071,7
12.8,0.33,0.76,0.32,0.99473,0.067,7
9.8,0.6,0.53,0.25,0.99616,0.118,5
9.8,0.6,0.53,0.25,0.99616,0.118,5
11.8,0.18,0.76,0.51,0.99524,0.071,7
12.9,0.51,0.87,0.18,0.9924,0.042,7
10.8,0.41,0.67,0.43,0.99728,0.11,5
11.1,0.36,0.72,0.57,0.99676,0.087,7
11.8,0.32,0.71,0.42,0.99434,0.075,7
10,0.785,0.67,0.24,0.99692,0.078,5
10,0.785,0.67,0.24,0.99692,0.078,5
9.4,0.44,1.1,0.5,0.99634,0.369,5
10.2,0.54,0.98,0.26,0.99709,0.111,5
12.4,0.33,0.88,0.39,0.99528,0.074,7
12.7,0.66,0.66,0,0.99318,0.052,7
11.4,0.915,0.73,0,0.99346,0.041,5
11.4,0.39,0.46,0.43,0.99478,0.068,5
9.3,0.66,0.6,0.07,0.99572,0.07,5
10.9,0.64,0.7,0.23,0.99538,0.08,5
12.2,0.8,0.5,0.03,0.9963,0.079,5
10.9,0.64,0.7,0.23,0.99538,0.08,5
10.8,0.885,0.51,0,0.99551,0.166,5
12.4,0.25,0.8,0.37,0.99439,0.063,7
10.8,0.885,0.51,0,0.99551,0.166,5
11.2,0.34,0.54,0.36,0.99419,0.065,7
9.4,0.74,0.55,0.19,0.99878,0.111,5
11,0.36,0.85,0.46,0.99534,0.074,7
11,0.36,0.85,0.46,0.99534,0.074,7
11,0.36,0.85,0.46,0.99534,0.074,7
10,0.72,0.94,0.55,0.99752,0.136,5
11,0.36,0.85,0.46,0.99534,0.074,7
11.2,0.39,0.87,0.43,0.99428,0.071,7
9.3,0.44,0.62,0.15,0.9957,0.076,5
9.4,0.46,0.51,0.23,0.99922,0.091,5
9.2,0.58,0.47,0.03,0.99592,0.08,5
9.6,0.58,0.72,0.25,0.99769,0.104,5
13.6,0.42,0.73,0,0.99157,0.044,7
9.5,0.43,0.64,0.29,0.99718,0.075,5
10.8,0.815,0.62,0.01,0.99621,0.074,5
9.5,0.43,0.64,0.29,0.99718,0.075,5
9.3,0.61,0.4,0.2,0.99494,0.076,5
9.8,0.37,0.59,0.39,0.99729,0.079,5
9.5,0.56,0.62,0.22,0.9983,0.082,5
10.5,0.55,0.68,0.19,0.99655,0.082,5
10,0.74,0.48,0.07,0.99502,0.086,5
10.5,0.55,0.68,0.19,0.99655,0.082,5
9.8,0.58,0.59,0.14,0.9963,0.077,5
9.8,0.72,0.58,0,0.99627,0.123,5
9.5,0.66,0.58,0,0.99569,0.096,5
10.9,0.7,0.69,0.06,0.99628,0.079,5
11,0.64,0.45,0.02,0.99358,0.069,5
9.2,0.59,0.42,0.22,0.99499,0.082,5
9.3,0.635,1.15,0.68,0.99632,0.403,5
9.8,0.45,0.58,0.38,0.99726,0.081,5
11.2,0.46,0.53,0,0.99385,0.077,5
9.3,0.58,0.43,0.2,0.99494,0.073,5
11.5,0.3,0.57,0.39,0.9948,0.062,7
10.9,0.42,0.56,0.19,0.99476,0.071,5
10.5,0.37,0.57,0.5,0.99734,0.09,5
13,0.6,0.37,0.08,0.99286,0.056,5
10.2,0.6,1.17,0.3,0.99914,0.068,5
10.2,0.6,1.17,0.3,0.99914,0.068,5
11,0.74,0.59,0,0.99521,0.1,5
9.5,0.63,0.45,0,0.99558,0.093,5
9.5,0.63,0.45,0,0.99558,0.093,5
11.2,0.28,0.66,0.44,0.99501,0.081,5
9.2,0.79,0.44,0.21,0.9955,0.087,5
9.8,0.61,0.53,0.26,0.99612,0.073,5
10.1,0.69,0.62,0.32,0.9979,0.088,5
10.1,0.69,0.62,0.32,0.9979,0.088,5
9.2,0.62,0.61,0.1,0.996,0.071,5
9.8,0.61,0.53,0.26,0.99612,0.073,5
10.5,1.18,0.47,0.21,0.99532,0.083,5
10.1,0.66,0.66,0.34,0.99796,0.094,5
11.4,0.34,0.55,0.42,0.99392,0.058,5
11,0.36,0.82,0.39,0.99495,0.06,7
9.3,0.52,0.52,0.11,0.9955,0.073,5
9.2,0.87,0.46,0.26,0.99668,0.107,5
9.6,0.775,0.51,0.22,0.9976,0.079,5
10,0.835,0.52,0,0.99608,0.166,5
9.5,0.5,0.45,0,0.99448,0.057,5
9.5,0.5,0.45,0,0.99448,0.057,5
9.5,0.5,0.45,0,0.99448,0.057,5
11,0.42,0.53,0.48,0.99852,0.077,5
11.4,0.59,0.56,0.01,0.99472,0.056,5
9.5,0.655,0.39,0.03,0.99587,0.078,5
9.5,0.655,0.39,0.03,0.99587,0.078,5
10.8,0.57,0.52,0,0.99518,0.081,5
10,0.6,0.57,0.29,0.99654,0.069,5
10.3,0.645,0.46,0.03,0.9969,0.086,5
10.3,0.645,0.46,0.03,0.9969,0.086,5
10,0.58,0.52,0.03,0.99568,0.077,5
10.1,0.32,0.44,0.25,0.99464,0.086,5
10.1,0.34,0.44,0.25,0.99464,0.084,5
9.5,0.64,0.5,0.17,0.99736,0.168,5
10.9,0.54,0.56,0.31,0.99699,0.112,5
10.1,0.85,0.54,0.14,0.99724,0.093,5
9.5,0.5,0.62,0.09,0.9971,0.115,5
9.8,0.74,0.5,0.08,0.99576,0.094,5
9.2,0.78,1.17,0.51,0.99623,0.415,5
9.2,0.78,1.17,0.51,0.99623,0.415,5
9.3,0.75,0.45,0.27,0.99664,0.11,5
9.9,0.56,0.52,0.26,0.99586,0.083,5
10,0.885,0.46,0.2,0.9946,0.086,5
9.6,0.83,0.45,0.09,0.99534,0.074,5
9.9,0.6,0.49,0.22,0.99613,0.08,5
9.9,0.6,0.49,0.22,0.99613,0.08,5
9.5,0.755,0.5,0.15,0.99593,0.107,5
9.2,0.81,0.42,0.25,0.99668,0.076,5
9.6,0.64,0.58,0.07,0.9961,0.1,5
9.6,0.64,0.58,0.07,0.9961,0.1,5
10.3,0.64,0.68,0.31,0.99718,0.083,5
9.7,0.48,0.53,0.02,0.99524,0.08,5
11,0.64,0.58,0.22,0.99612,0.094,5
9.8,0.62,0.48,0.06,0.9942,0.07,5
10.2,0.52,0.48,0.25,0.99612,0.078,5
9.2,0.57,0.48,0.14,0.99669,0.07,5
9.55,0.675,0.65,0.1,0.99745,0.09,5
9.9,0.59,0.52,0.26,0.99584,0.08,5
10.2,0.6,0.62,0.12,0.9966,0.083,7
9.9,0.69,0.51,0.21,0.9962,0.08,5
9.9,0.69,0.51,0.21,0.9962,0.08,5
11.3,0.28,0.9,0.3,0.9952,0.062,7
12.4,0.29,1.01,0.36,0.995,0.048,7
10.1,0.57,0.9,0.25,0.9963,0.104,5
9.6,0.32,0.78,0.59,0.9994,0.077,5
9.4,0.58,0.84,0,0.9966,0.065,5
9.6,0.32,0.78,0.59,0.9994,0.077,5
12.1,0.34,0.77,0.33,0.9952,0.064,7
9.8,0.53,0.46,0.01,0.995,0.077,5
9.9,0.64,0.45,0.21,0.9956,0.077,5
9.8,0.53,0.46,0.01,0.995,0.077,5
9.4,0.4,0.58,0.18,0.9965,0.079,5
11.2,0.41,0.58,0.33,0.9957,0.078,5
11,0.64,0.63,0,0.9962,0.072,5
11.3,0.18,0.93,0.4,0.996,0.049,5
10.4,0.41,0.62,0.24,0.9956,0.066,5
10.1,0.4,0.74,0.16,0.9955,0.069,7
8.5,0.38,0.65,0.38,0.99914,0.169,5
11.1,0.915,0.54,0.29,0.99577,0.07,5
10.3,0.59,0.47,0,0.996,0.052,5
11.3,0.37,0.73,0.32,0.9947,0.062,7
9.8,0.63,0.75,0.02,0.99712,0.078,5
11.7,0.58,0.49,0.2,0.99322,0.058,5
9.8,0.63,0.75,0.02,0.99712,0.078,5
9.7,0.67,0.74,0,0.99701,0.08,5
9.7,0.58,0.73,0.01,0.99683,0.08,5
11.3,0.37,0.73,0.32,0.9947,0.062,7
11,0.32,0.78,0.44,0.99732,0.104,7
11.6,0.58,0.76,0.02,0.99374,0.062,7
9,0.49,0.58,0.33,0.99706,0.074,5
9,0.49,0.58,0.33,0.99706,0.074,5
10.5,0.29,0.6,0.4,0.99603,0.067,5
11.9,0.2,0.8,0.35,0.99458,0.054,7
9.7,0.59,0.67,0.1,0.9958,0.063,5
9.7,0.59,0.67,0.1,0.9958,0.063,5
10,0.48,0.65,0.32,0.99728,0.062,7
10,0.48,0.65,0.32,0.99728,0.062,7
9.7,0.69,0.47,0.11,0.99578,0.084,5
12.6,0.7,0.52,0.08,0.99334,0.067,5
11,0.6,0.54,0.08,0.99336,0.071,5
8.8,0.5,0.75,0.5,1.00242,0.205,5
13.56666667,0.47,0.88,0.11,0.99182,0.048,7
8.8,0.5,0.75,0.5,1.00242,0.205,5
13.6,0.47,0.88,0.11,0.99182,0.048,7
10.6,0.28,0.68,0.6,0.99828,0.104,5
10.6,0.28,0.68,0.6,0.99828,0.104,5
10.7,0.33,0.61,0.44,0.99542,0.042,5
9.7,0.655,0.55,0.16,0.99606,0.074,5
10.3,0.68,0.6,0.21,0.99546,0.07,5
10.6,0.64,0.78,0.05,0.99496,0.066,5
11.4,0.54,0.58,0.04,0.9942,0.049,5
11.4,0.54,0.58,0.04,0.9942,0.049,5
11.95,0.65,0.54,0.06,0.99348,0.05,5
9.7,0.54,0.59,0.26,0.99636,0.089,5
10,0.31,0.7,0.09,0.99459,0.066,7
9.7,0.54,0.59,0.26,0.99636,0.089,5
9.6,0.725,0.53,0.04,0.99508,0.076,5
9.4,0.82,0.53,0.29,0.99642,0.083,5
9.8,0.585,0.54,0.18,0.99638,0.078,5
11.1,0.18,0.7,0.4,0.9941,0.062,5
9.8,0.69,0.67,0.04,0.99712,0.068,5
10.6,0.32,0.97,0.25,0.99633,0.071,5
10.5,0.47,0.63,0.46,0.99647,0.114,5
10.2,0.7,0.58,0.08,0.99665,0.106,5
10.6,0.32,0.97,0.25,0.99633,0.071,5
10.4,0.48,0.6,0.25,0.9953,0.076,5
9.7,0.48,0.64,0.08,0.99552,0.064,5
10.2,0.705,0.66,0.1,0.99631,0.081,5
9,0.39,0.61,0.3,0.99717,0.074,5
11.7,0.56,0.62,0.14,0.99397,0.064,7
12,0.64,0.63,0.09,0.99538,0.081,5
9.9,0.39,0.78,0.32,0.99714,0.065,5
10.9,0.25,0.76,0.29,0.99666,0.054,7
11.2,0.37,0.81,0.43,0.9955,0.063,7
10.2,0.57,0.61,0.02,0.99575,0.072,5
12.1,0.6,0.51,0.1,0.99306,0.048,5
10.4,0.4,0.58,0.5,0.99783,0.099,5
9.5,0.68,0.53,0,0.99783,0.087,5
9.4,0.67,0.54,0,0.99768,0.083,5
9.4,0.735,0.6,0,0.99765,0.08,5
10.55,0.56,0.68,0.17,0.99514,0.065,7
9.9,0.88,0.56,0.04,0.99636,0.066,5
9.5,0.63,0.56,0.33,0.99787,0.235,5
9.9,0.6,0.52,0.26,0.99622,0.08,5
9.9,0.6,0.52,0.26,0.99622,0.08,5
9.9,0.6,0.52,0.26,0.99622,0.08,5
10.1,0.695,0.54,0.13,0.99546,0.076,5
10.1,0.695,0.54,0.13,0.99546,0.076,5
10.1,0.695,0.54,0.13,0.99546,0.076,5
10.1,0.695,0.54,0.13,0.99546,0.076,5
9.2,0.56,0.59,0.13,0.99629,0.077,5
9.5,0.69,0.51,0.32,0.99632,0.069,5
11.3,0.56,0.6,0.09,0.99402,0.053,5
11.3,0.56,0.6,0.09,0.99402,0.053,5
11.9,0.715,0.5,0.1,0.99362,0.053,5
9.8,0.46,0.62,0.29,0.99578,0.074,5
11.6,0.32,0.8,0.44,0.99484,0.061,7
9.2,0.725,0.54,0.2,0.9977,0.073,5
10.5,0.6,0.58,0.08,0.9949,0.09,5
10.2,0.645,0.71,0.12,0.99547,0.075,5
